vOTU	Length	Length_kbp	GC	phylum
vOTU00166	43867	43.867	49.06	Proteobacteria
vOTU00167	23497	23.497	44.12	Proteobacteria
vOTU00171	70002	70.002	48.19	Proteobacteria
vOTU00176	83193	83.193	56.42	Proteobacteria
vOTU00177	38988	38.988	60.76	Proteobacteria
vOTU00180	22352	22.352	46.64	Proteobacteria
vOTU00182	53655	53.655	53.61	Proteobacteria
vOTU00185	36987	36.987	42.85	Proteobacteria
vOTU00187	31997	31.997	43.72	Proteobacteria
vOTU00201	12754	12.754	53.61	Proteobacteria
vOTU00206	29630	29.63	48.88	Proteobacteria
vOTU00210	8311	8.311	40.89	Proteobacteria
vOTU00214	25123	25.123	46.85	Proteobacteria
vOTU00238	28892	28.892	33.98	Proteobacteria
vOTU00247	35691	35.691	60.55	Proteobacteria
vOTU00249	61272	61.272	46.01	Proteobacteria
vOTU00257	36169	36.169	55.11	Proteobacteria
vOTU00260	47800	47.8	49.49	Proteobacteria
vOTU00267	21840	21.84	45.11	Proteobacteria
vOTU00269	36593	36.593	29.22	Proteobacteria
vOTU00275	97305	97.305	42.91	Proteobacteria
vOTU00276	19742	19.742	63.08	Proteobacteria
vOTU00279	19997	19.997	57.51	Proteobacteria
vOTU00284	49392	49.392	47.31	Proteobacteria
vOTU00286	50625	50.625	45.77	Proteobacteria
vOTU00287	61566	61.566	40.56	Proteobacteria
vOTU00288	23018	23.018	38.23	Proteobacteria
vOTU00291	72080	72.08	40.54	Proteobacteria
vOTU00300	88293	88.293	41.49	Proteobacteria
vOTU00301	51432	51.432	44.03	Proteobacteria
vOTU00302	25140	25.14	46.61	Proteobacteria
vOTU00305	23012	23.012	54.47	Proteobacteria
vOTU00311	39159	39.159	50.78	Proteobacteria
vOTU00317	19894	19.894	61.58	Proteobacteria
vOTU00319	50236	50.236	32.95	Proteobacteria
vOTU00325	19481	19.481	61.24	Proteobacteria
vOTU00327	4879	4.879	45.77	Proteobacteria
vOTU00330	34482	34.482	46.72	Proteobacteria
vOTU00338	63135	63.135	58.25	Proteobacteria
vOTU00344	29924	29.924	39.56	Proteobacteria
vOTU00346	77910	77.91	53.61	Proteobacteria
vOTU00349	34983	34.983	42.53	Proteobacteria
vOTU00353	27605	27.605	44.12	Proteobacteria
vOTU00356	40649	40.649	55.83	Proteobacteria
vOTU00361	47241	47.241	53.33	Proteobacteria
vOTU00362	47295	47.295	53.93	Proteobacteria
vOTU00370	28581	28.581	45.34	Proteobacteria
vOTU00373	51996	51.996	44.34	Proteobacteria
vOTU00374	94425	94.425	52.08	Proteobacteria
vOTU00375	34485	34.485	38.88	Proteobacteria
vOTU00376	31971	31.971	56.6	Proteobacteria
vOTU00381	46065	46.065	48.46	Proteobacteria
vOTU00382	45261	45.261	49.01	Proteobacteria
vOTU00383	18382	18.382	53.34	Proteobacteria
vOTU00385	15278	15.278	51.54	Proteobacteria
vOTU00389	44985	44.985	41.62	Proteobacteria
vOTU00394	29896	29.896	52.74	Proteobacteria
vOTU00399	37395	37.395	52.71	Proteobacteria
vOTU00401	17032	17.032	40.96	Proteobacteria
vOTU00406	67993	67.993	53.2	Proteobacteria
vOTU00410	55270	55.27	28.16	Proteobacteria
vOTU00413	59120	59.12	57.43	Proteobacteria
vOTU00416	40741	40.741	57.69	Proteobacteria
vOTU00417	24859	24.859	46.97	Proteobacteria
vOTU00420	45386	45.386	49.57	Proteobacteria
vOTU00422	41224	41.224	46.07	Proteobacteria
vOTU00423	6564	6.564	51.2	Proteobacteria
vOTU00426	59280	59.28	46.95	Proteobacteria
vOTU00433	27395	27.395	55.72	Proteobacteria
vOTU00436	37210	37.21	44.27	Proteobacteria
vOTU00439	90436	90.436	56.02	Proteobacteria
vOTU00443	16871	16.871	34.67	Proteobacteria
vOTU00444	53673	53.673	39.65	Proteobacteria
vOTU00449	35335	35.335	64.47	Proteobacteria
vOTU00458	71784	71.784	46.23	Proteobacteria
vOTU00464	41436	41.436	58.07	Proteobacteria
vOTU00471	47337	47.337	44.5	Proteobacteria
vOTU00473	19755	19.755	59.71	Proteobacteria
vOTU00477	56032	56.032	37.69	Proteobacteria
vOTU00487	57640	57.64	48.14	Proteobacteria
vOTU00490	65770	65.77	57.38	Proteobacteria
vOTU00499	164634	164.634	31.13	Proteobacteria
vOTU00505	15678	15.678	48.41	Proteobacteria
vOTU00506	40332	40.332	46.31	Proteobacteria
vOTU00511	5038	5.038	41.19	Proteobacteria
vOTU00512	5169	5.169	45.06	Proteobacteria
vOTU00513	36976	36.976	53.24	Proteobacteria
vOTU00514	44380	44.38	36.96	Proteobacteria
vOTU00515	56945	56.945	49.68	Proteobacteria
vOTU00517	26694	26.694	56.45	Proteobacteria
vOTU00520	26336	26.336	44.45	Proteobacteria
vOTU00522	35889	35.889	34.95	Proteobacteria
vOTU00528	56630	56.63	53.75	Proteobacteria
vOTU00530	42611	42.611	50.36	Proteobacteria
vOTU00534	45144	45.144	51.13	Proteobacteria
vOTU00538	66450	66.45	47.56	Proteobacteria
vOTU00544	29961	29.961	54.41	Proteobacteria
vOTU00553	36386	36.386	28.14	Proteobacteria
vOTU00555	75783	75.783	35.92	Proteobacteria
vOTU00556	70390	70.39	52.36	Proteobacteria
vOTU00563	55374	55.374	52.19	Proteobacteria
vOTU00564	51224	51.224	44.02	Proteobacteria
vOTU00566	27796	27.796	56.09	Proteobacteria
vOTU00580	131836	131.836	43.71	Proteobacteria
vOTU00582	43379	43.379	52.89	Proteobacteria
vOTU00588	22804	22.804	35.35	Proteobacteria
vOTU00593	66865	66.865	59.38	Proteobacteria
vOTU00599	139004	139.004	57.58	Proteobacteria
vOTU00601	24392	24.392	48.84	Proteobacteria
vOTU00603	133204	133.204	41.92	Proteobacteria
vOTU00608	23290	23.29	41.32	Proteobacteria
vOTU00621	86648	86.648	41.43	Proteobacteria
vOTU00622	38302	38.302	45.15	Proteobacteria
vOTU00625	41178	41.178	55.55	Proteobacteria
vOTU00630	33542	33.542	56.67	Proteobacteria
vOTU00636	48218	48.218	60.17	Proteobacteria
vOTU00637	42262	42.262	44.72	Proteobacteria
vOTU00641	82838	82.838	42.86	Proteobacteria
vOTU00646	25897	25.897	55.44	Proteobacteria
vOTU00654	118722	118.722	56.97	Proteobacteria
vOTU00655	37853	37.853	54.69	Proteobacteria
vOTU00657	45463	45.463	46.15	Proteobacteria
vOTU00664	41329	41.329	44.28	Proteobacteria
vOTU00665	17429	17.429	28.67	Proteobacteria
vOTU00667	60720	60.72	50.47	Proteobacteria
vOTU00670	16315	16.315	62.07	Proteobacteria
vOTU00673	70836	70.836	52.5	Proteobacteria
vOTU00675	26034	26.034	27.66	Proteobacteria
vOTU00678	32043	32.043	56.87	Proteobacteria
vOTU00680	58244	58.244	27.35	Proteobacteria
vOTU00684	49100	49.1	37.14	Proteobacteria
vOTU00702	107121	107.121	42.47	Proteobacteria
vOTU00703	35711	35.711	42.08	Proteobacteria
vOTU00708	62019	62.019	55.04	Proteobacteria
vOTU00711	50373	50.373	43.73	Proteobacteria
vOTU00714	38318	38.318	54.47	Proteobacteria
vOTU00719	45253	45.253	43.34	Proteobacteria
vOTU00721	92890	92.89	58.71	Proteobacteria
vOTU00724	64968	64.968	54.47	Proteobacteria
vOTU00733	44790	44.79	36.19	Proteobacteria
vOTU00735	56293	56.293	32.33	Proteobacteria
vOTU00747	58644	58.644	55.63	Proteobacteria
vOTU00753	53702	53.702	43.94	Proteobacteria
vOTU00754	19119	19.119	47.77	Proteobacteria
vOTU00758	31518	31.518	41.91	Proteobacteria
vOTU00759	82575	82.575	41.38	Proteobacteria
vOTU00766	45032	45.032	42.57	Proteobacteria
vOTU00773	52472	52.472	59.79	Proteobacteria
vOTU00775	22084	22.084	50.96	Proteobacteria
vOTU00778	32722	32.722	48.7	Proteobacteria
vOTU00780	22705	22.705	46.01	Proteobacteria
vOTU00781	73569	73.569	41.16	Proteobacteria
vOTU00784	49327	49.327	55.35	Proteobacteria
vOTU00785	33221	33.221	46.99	Proteobacteria
vOTU00786	56485	56.485	43.58	Proteobacteria
vOTU00790	47023	47.023	46.13	Proteobacteria
vOTU00791	60178	60.178	49.83	Proteobacteria
vOTU00796	32025	32.025	38.76	Proteobacteria
vOTU00800	69663	69.663	62.46	Proteobacteria
vOTU00818	15414	15.414	40.46	Proteobacteria
vOTU00819	31671	31.671	55.7	Proteobacteria
vOTU00823	58420	58.42	39.42	Proteobacteria
vOTU00826	26174	26.174	29.03	Proteobacteria
vOTU00828	42388	42.388	54.6	Proteobacteria
vOTU00833	83448	83.448	49.9	Proteobacteria
vOTU00836	84416	84.416	45.95	Proteobacteria
vOTU00839	20934	20.934	45.68	Proteobacteria
vOTU00840	33999	33.999	46.29	Proteobacteria
vOTU00842	60360	60.36	44.74	Proteobacteria
vOTU00843	32120	32.12	55.63	Proteobacteria
vOTU00856	100674	100.674	34.72	Proteobacteria
vOTU00858	5303	5.303	45.01	Proteobacteria
vOTU00860	36235	36.235	59.29	Proteobacteria
vOTU00862	36033	36.033	41.88	Proteobacteria
vOTU00864	31511	31.511	52.75	Proteobacteria
vOTU00866	82095	82.095	49	Proteobacteria
vOTU00867	4720	4.72	46.4	Proteobacteria
vOTU00873	76012	76.012	56.25	Proteobacteria
vOTU00874	25294	25.294	46.85	Proteobacteria
vOTU00876	47541	47.541	37	Proteobacteria
vOTU00877	23390	23.39	36.22	Proteobacteria
vOTU00878	56082	56.082	41.1	Proteobacteria
vOTU00888	89146	89.146	54.34	Proteobacteria
vOTU00896	89394	89.394	57.64	Proteobacteria
vOTU00899	29294	29.294	41.66	Proteobacteria
vOTU00901	56961	56.961	44.37	Proteobacteria
vOTU00907	57529	57.529	58.54	Proteobacteria
vOTU00908	103830	103.83	47.82	Proteobacteria
vOTU00914	60812	60.812	50.37	Proteobacteria
vOTU00917	40572	40.572	54.73	Proteobacteria
vOTU00920	25625	25.625	54.37	Proteobacteria
vOTU00923	20447	20.447	37.71	Proteobacteria
vOTU00924	20018	20.018	43.55	Proteobacteria
vOTU00925	31313	31.313	52.94	Proteobacteria
vOTU00927	22297	22.297	61.23	Proteobacteria
vOTU00928	37038	37.038	55.52	Proteobacteria
vOTU00929	30912	30.912	44.81	Proteobacteria
vOTU00930	32864	32.864	54.37	Proteobacteria
vOTU00933	54496	54.496	47.88	Proteobacteria
vOTU00936	69969	69.969	52.17	Proteobacteria
vOTU00937	100833	100.833	52.43	Proteobacteria
vOTU00938	33459	33.459	53.64	Proteobacteria
vOTU00945	76221	76.221	49.89	Proteobacteria
vOTU00955	51854	51.854	53.74	Proteobacteria
vOTU00957	41634	41.634	36.78	Proteobacteria
vOTU00963	38705	38.705	58.37	Proteobacteria
vOTU00965	43653	43.653	48.7	Proteobacteria
vOTU00968	23464	23.464	44.53	Proteobacteria
vOTU00974	10366	10.366	54.86	Proteobacteria
vOTU00975	56171	56.171	53.83	Proteobacteria
vOTU00982	45369	45.369	44.51	Proteobacteria
vOTU00988	110947	110.947	48.79	Proteobacteria
vOTU00989	99708	99.708	50.35	Proteobacteria
vOTU00990	54415	54.415	44.93	Proteobacteria
vOTU00992	28697	28.697	34.41	Proteobacteria
vOTU00996	49777	49.777	41.54	Proteobacteria
vOTU00999	38411	38.411	58.52	Proteobacteria
vOTU01002	81415	81.415	37.83	Proteobacteria
vOTU01003	13302	13.302	49.77	Proteobacteria
vOTU01005	43805	43.805	52.11	Proteobacteria
vOTU01018	92258	92.258	30.36	Proteobacteria
vOTU01024	32345	32.345	52.89	Proteobacteria
vOTU01026	41551	41.551	44.88	Proteobacteria
vOTU01027	5942	5.942	45.29	Proteobacteria
vOTU01030	47287	47.287	59.79	Proteobacteria
vOTU01042	12940	12.94	47.24	Proteobacteria
vOTU01048	46181	46.181	47.91	Proteobacteria
vOTU01050	37183	37.183	44.23	Proteobacteria
vOTU01051	60032	60.032	44.88	Proteobacteria
vOTU01052	42031	42.031	36.15	Proteobacteria
vOTU01053	44266	44.266	56.94	Proteobacteria
vOTU01056	33120	33.12	45.79	Proteobacteria
vOTU01059	75438	75.438	48.52	Proteobacteria
vOTU01063	43522	43.522	57	Proteobacteria
vOTU01064	24634	24.634	47.06	Proteobacteria
vOTU01069	38482	38.482	45.12	Proteobacteria
vOTU01073	104169	104.169	61.73	Proteobacteria
vOTU01075	67800	67.8	47.24	Proteobacteria
vOTU01076	23357	23.357	32.93	Proteobacteria
vOTU01078	46014	46.014	39.74	Proteobacteria
vOTU01080	61176	61.176	49.87	Proteobacteria
vOTU01081	26186	26.186	44.31	Proteobacteria
vOTU01082	28851	28.851	49.1	Proteobacteria
vOTU01083	54887	54.887	32.42	Proteobacteria
vOTU01087	43306	43.306	54.88	Proteobacteria
vOTU01088	44756	44.756	49.98	Proteobacteria
vOTU01093	29468	29.468	54.2	Proteobacteria
vOTU01101	11887	11.887	35.06	Proteobacteria
vOTU01104	52404	52.404	32.4	Proteobacteria
vOTU01109	27677	27.677	52.46	Proteobacteria
vOTU01112	24970	24.97	50.35	Proteobacteria
vOTU01113	32164	32.164	53.9	Proteobacteria
vOTU01115	62542	62.542	53.67	Proteobacteria
vOTU01118	50458	50.458	40.71	Proteobacteria
vOTU01123	74133	74.133	45.39	Proteobacteria
vOTU01124	41867	41.867	50.99	Proteobacteria
vOTU01126	44160	44.16	43.69	Proteobacteria
vOTU01128	27559	27.559	55.25	Proteobacteria
vOTU01130	15623	15.623	48.26	Proteobacteria
vOTU01134	30561	30.561	44.91	Proteobacteria
vOTU01135	114917	114.917	41.3	Proteobacteria
vOTU01137	87982	87.982	44.24	Proteobacteria
vOTU01138	63519	63.519	42.6	Proteobacteria
vOTU01142	41173	41.173	55.05	Proteobacteria
vOTU01148	16274	16.274	48.1	Proteobacteria
vOTU01150	86820	86.82	57.29	Proteobacteria
vOTU01152	26422	26.422	60.55	Proteobacteria
vOTU01158	53263	53.263	40.88	Proteobacteria
vOTU01160	45840	45.84	51.06	Proteobacteria
vOTU01164	71024	71.024	56.24	Proteobacteria
vOTU01165	78200	78.2	47.84	Proteobacteria
vOTU01167	33945	33.945	42.3	Proteobacteria
vOTU01173	29566	29.566	50.15	Proteobacteria
vOTU01174	22156	22.156	49.13	Proteobacteria
vOTU01175	47315	47.315	42.21	Proteobacteria
vOTU01190	39515	39.515	59.5	Proteobacteria
vOTU01196	25167	25.167	52.75	Proteobacteria
vOTU01206	26295	26.295	60.51	Proteobacteria
vOTU01215	37330	37.33	42.96	Proteobacteria
vOTU01217	30989	30.989	58.58	Proteobacteria
vOTU01220	67015	67.015	55.27	Proteobacteria
vOTU01224	80123	80.123	57.08	Proteobacteria
vOTU01229	39615	39.615	29.22	Proteobacteria
vOTU01233	41894	41.894	41.53	Proteobacteria
vOTU01235	42181	42.181	41.95	Proteobacteria
vOTU01236	62174	62.174	52.23	Proteobacteria
vOTU01240	6753	6.753	51.12	Proteobacteria
vOTU01242	138720	138.72	49.21	Proteobacteria
vOTU01249	46028	46.028	48.14	Proteobacteria
vOTU01253	88245	88.245	48.48	Proteobacteria
vOTU01254	30466	30.466	41.56	Proteobacteria
vOTU01269	50265	50.265	53.98	Proteobacteria
vOTU01272	43223	43.223	51.85	Proteobacteria
vOTU01273	19862	19.862	41.92	Proteobacteria
vOTU01276	62593	62.593	55.44	Proteobacteria
vOTU01277	91364	91.364	40.59	Proteobacteria
vOTU01281	40027	40.027	53.21	Proteobacteria
vOTU01282	60525	60.525	52.21	Proteobacteria
vOTU01290	44371	44.371	44.76	Proteobacteria
vOTU01292	59405	59.405	56.61	Proteobacteria
vOTU01293	23952	23.952	34.78	Proteobacteria
vOTU01296	88189	88.189	37.97	Proteobacteria
vOTU01297	58475	58.475	51.85	Proteobacteria
vOTU01300	127899	127.899	41.27	Proteobacteria
vOTU01303	59865	59.865	38.16	Proteobacteria
vOTU01307	27672	27.672	46.49	Proteobacteria
vOTU01309	32916	32.916	59.76	Proteobacteria
vOTU01313	30015	30.015	43.59	Proteobacteria
vOTU01315	19541	19.541	45	Proteobacteria
vOTU01316	61982	61.982	58.59	Proteobacteria
vOTU01318	29942	29.942	64.09	Proteobacteria
vOTU01322	28679	28.679	50.47	Proteobacteria
vOTU01325	39188	39.188	46.42	Proteobacteria
vOTU01334	40047	40.047	58.43	Proteobacteria
vOTU01336	19885	19.885	45.12	Proteobacteria
vOTU01344	41105	41.105	36.33	Proteobacteria
vOTU01352	50886	50.886	46.82	Proteobacteria
vOTU01359	25772	25.772	45.56	Proteobacteria
vOTU01361	39973	39.973	43.12	Proteobacteria
vOTU01362	36570	36.57	44.98	Proteobacteria
vOTU01366	30905	30.905	51.19	Proteobacteria
vOTU01371	35451	35.451	43.19	Proteobacteria
vOTU01373	5494	5.494	48.03	Proteobacteria
vOTU01378	71299	71.299	44.84	Proteobacteria
vOTU01380	70584	70.584	38.89	Proteobacteria
vOTU01384	34208	34.208	60.78	Proteobacteria
vOTU01385	96264	96.264	53.65	Proteobacteria
vOTU01400	51276	51.276	52.51	Proteobacteria
vOTU01401	20211	20.211	46.01	Proteobacteria
vOTU01402	39029	39.029	40.82	Proteobacteria
vOTU01404	67687	67.687	42.51	Proteobacteria
vOTU01416	19873	19.873	32.41	Proteobacteria
vOTU01418	19220	19.22	55.53	Proteobacteria
vOTU01419	44637	44.637	35.71	Proteobacteria
vOTU01429	29806	29.806	31.14	Proteobacteria
vOTU01431	55455	55.455	64.11	Proteobacteria
vOTU01434	52982	52.982	57.74	Proteobacteria
vOTU01438	76429	76.429	43.83	Proteobacteria
vOTU01439	31138	31.138	54.09	Proteobacteria
vOTU01440	34536	34.536	28.08	Proteobacteria
vOTU01441	107863	107.863	39.09	Proteobacteria
vOTU01445	4955	4.955	43.37	Proteobacteria
vOTU01450	23650	23.65	53.33	Proteobacteria
vOTU01452	23315	23.315	47.73	Proteobacteria
vOTU01453	27603	27.603	44.64	Proteobacteria
vOTU01462	102193	102.193	43.87	Proteobacteria
vOTU01467	67723	67.723	46.27	Proteobacteria
vOTU01472	70451	70.451	61.09	Proteobacteria
vOTU01473	42524	42.524	51.89	Proteobacteria
vOTU01479	56533	56.533	56.31	Proteobacteria
vOTU01483	35781	35.781	58.55	Proteobacteria
vOTU01486	53530	53.53	40.59	Proteobacteria
vOTU01487	15192	15.192	40.2	Proteobacteria
vOTU01490	55821	55.821	44.99	Proteobacteria
vOTU01491	20658	20.658	47.69	Proteobacteria
vOTU01493	95248	95.248	40.36	Proteobacteria
vOTU01507	19264	19.264	58.18	Proteobacteria
vOTU01509	35831	35.831	51.97	Proteobacteria
vOTU01525	112296	112.296	45.32	Proteobacteria
vOTU01527	58276	58.276	58.85	Proteobacteria
vOTU01539	70265	70.265	51.92	Proteobacteria
vOTU01540	37653	37.653	54.23	Proteobacteria
vOTU01558	27595	27.595	53.47	Proteobacteria
vOTU01564	51222	51.222	48.69	Proteobacteria
vOTU01565	16962	16.962	47.42	Proteobacteria
vOTU01571	28684	28.684	46.14	Proteobacteria
vOTU01572	24012	24.012	37.7	Proteobacteria
vOTU01574	41547	41.547	40.57	Proteobacteria
vOTU01581	39631	39.631	37	Proteobacteria
vOTU01583	25997	25.997	54.08	Proteobacteria
vOTU01584	39058	39.058	44.27	Proteobacteria
vOTU01586	42935	42.935	36.34	Proteobacteria
vOTU01589	85381	85.381	46.06	Proteobacteria
vOTU01592	45220	45.22	51.95	Proteobacteria
vOTU01595	15729	15.729	35.94	Proteobacteria
vOTU01598	74608	74.608	27.13	Proteobacteria
vOTU01600	40157	40.157	55.21	Proteobacteria
vOTU01604	29464	29.464	55.79	Proteobacteria
vOTU01613	58767	58.767	39.73	Proteobacteria
vOTU01614	31912	31.912	50.3	Proteobacteria
vOTU01615	5033	5.033	40.83	Proteobacteria
vOTU01619	41824	41.824	41.4	Proteobacteria
vOTU01622	32867	32.867	53.57	Proteobacteria
vOTU01625	61742	61.742	40.75	Proteobacteria
vOTU01626	42677	42.677	54	Proteobacteria
vOTU01630	36883	36.883	48.47	Proteobacteria
vOTU01633	51966	51.966	42.11	Proteobacteria
vOTU01639	102666	102.666	43.21	Proteobacteria
vOTU01641	15488	15.488	44.27	Proteobacteria
vOTU01643	6327	6.327	48.71	Proteobacteria
vOTU01647	34965	34.965	38.26	Proteobacteria
vOTU01651	49456	49.456	41.89	Proteobacteria
vOTU01656	33408	33.408	38.63	Proteobacteria
vOTU01657	83584	83.584	52.5	Proteobacteria
vOTU01661	12956	12.956	50.05	Proteobacteria
vOTU01667	56358	56.358	54.09	Proteobacteria
vOTU01668	41881	41.881	53.9	Proteobacteria
vOTU01672	17529	17.529	61.02	Proteobacteria
vOTU01676	29084	29.084	53.64	Proteobacteria
vOTU01677	27332	27.332	57.12	Proteobacteria
vOTU01680	81986	81.986	58.74	Proteobacteria
vOTU01684	25961	25.961	57.02	Proteobacteria
vOTU01686	36574	36.574	55.96	Proteobacteria
vOTU01687	45899	45.899	45.45	Proteobacteria
vOTU01688	37955	37.955	39.62	Proteobacteria
vOTU01694	18415	18.415	55.5	Proteobacteria
vOTU01697	32676	32.676	44.41	Proteobacteria
vOTU01699	44854	44.854	52.03	Proteobacteria
vOTU01700	59288	59.288	49.03	Proteobacteria
vOTU01704	25602	25.602	45.09	Proteobacteria
vOTU01708	105026	105.026	36.92	Proteobacteria
vOTU01711	63336	63.336	52.77	Proteobacteria
vOTU01715	124932	124.932	31.53	Proteobacteria
vOTU01718	27467	27.467	53.15	Proteobacteria
vOTU01722	66824	66.824	59.41	Proteobacteria
vOTU01726	29630	29.63	55.1	Proteobacteria
vOTU01730	24908	24.908	60.24	Proteobacteria
vOTU01737	24675	24.675	44.42	Proteobacteria
vOTU01743	50978	50.978	55.15	Proteobacteria
vOTU01745	29511	29.511	54.06	Proteobacteria
vOTU01747	47952	47.952	45.59	Proteobacteria
vOTU01753	5886	5.886	47.01	Proteobacteria
vOTU01757	21423	21.423	58.68	Proteobacteria
vOTU01761	39964	39.964	51.87	Proteobacteria
vOTU01763	34964	34.964	56.5	Proteobacteria
vOTU01766	5925	5.925	39.8	Proteobacteria
vOTU01769	114130	114.13	40.47	Proteobacteria
vOTU01777	13151	13.151	52.83	Proteobacteria
vOTU01784	33907	33.907	51.36	Proteobacteria
vOTU01789	26046	26.046	35.92	Proteobacteria
vOTU01794	40230	40.23	57.45	Proteobacteria
vOTU01795	39588	39.588	59.58	Proteobacteria
vOTU01807	37983	37.983	33.78	Proteobacteria
vOTU01810	32846	32.846	41.07	Proteobacteria
vOTU01813	23065	23.065	41.85	Proteobacteria
vOTU01814	15858	15.858	40.05	Proteobacteria
vOTU01815	68110	68.11	45.82	Proteobacteria
vOTU01820	22008	22.008	58.44	Proteobacteria
vOTU01823	30575	30.575	54.82	Proteobacteria
vOTU01830	75547	75.547	42.42	Proteobacteria
vOTU01831	96225	96.225	37.37	Proteobacteria
vOTU01835	37210	37.21	45.83	Proteobacteria
vOTU01836	35318	35.318	44.5	Proteobacteria
vOTU01838	22844	22.844	54.61	Proteobacteria
vOTU01841	25894	25.894	44.69	Proteobacteria
vOTU01849	94541	94.541	33.17	Proteobacteria
vOTU01862	18568	18.568	45.82	Proteobacteria
vOTU01867	65211	65.211	38.78	Proteobacteria
vOTU01870	142272	142.272	50.41	Proteobacteria
vOTU01873	44564	44.564	44.63	Proteobacteria
vOTU01874	18349	18.349	46.1	Proteobacteria
vOTU01876	22996	22.996	48.81	Proteobacteria
vOTU01878	88610	88.61	51.17	Proteobacteria
vOTU01879	81753	81.753	63	Proteobacteria
vOTU01881	36474	36.474	41	Proteobacteria
vOTU01882	20992	20.992	60.15	Proteobacteria
vOTU01884	44549	44.549	54.28	Proteobacteria
vOTU01889	29070	29.07	56.24	Proteobacteria
vOTU01890	26516	26.516	52.98	Proteobacteria
vOTU01894	21013	21.013	47.15	Proteobacteria
vOTU01900	48709	48.709	54.2	Proteobacteria
vOTU01906	49313	49.313	55.1	Proteobacteria
vOTU01908	32076	32.076	40.24	Proteobacteria
vOTU01909	31576	31.576	57.81	Proteobacteria
vOTU01912	51330	51.33	42.14	Proteobacteria
vOTU01917	47234	47.234	53.64	Proteobacteria
vOTU01925	45593	45.593	49.74	Proteobacteria
vOTU01928	28611	28.611	57.28	Proteobacteria
vOTU01929	45520	45.52	64.09	Proteobacteria
vOTU01930	41410	41.41	54.65	Proteobacteria
vOTU01936	48151	48.151	45.17	Proteobacteria
vOTU01942	31348	31.348	52.21	Proteobacteria
vOTU01943	84900	84.9	47.86	Proteobacteria
vOTU01944	59888	59.888	52.21	Proteobacteria
vOTU01950	41585	41.585	55.9	Proteobacteria
vOTU01952	59640	59.64	55.53	Proteobacteria
vOTU01953	50671	50.671	38.68	Proteobacteria
vOTU01954	50669	50.669	42.81	Proteobacteria
vOTU01956	24577	24.577	45.34	Proteobacteria
vOTU01966	46850	46.85	43.34	Proteobacteria
vOTU01971	27755	27.755	52.85	Proteobacteria
vOTU01977	20125	20.125	58.41	Proteobacteria
vOTU01979	44353	44.353	37.48	Proteobacteria
vOTU01980	23751	23.751	53.14	Proteobacteria
vOTU01981	21568	21.568	39.03	Proteobacteria
