# RUN PARAMETERS: 
# --------------- 
# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'map_function_file': None, 'taxa_assessment_method': 'multi_taxa', 'map_function_level': 'none', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'output_pref': 'Modules_Obesity', 'apply_inference': True, 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'residual_mode': 'remove_residual', 'write_log': True, 'number_of_permutations': '100', 'class_file': './data/Sample_Class1.txt', 'max_da_functions_cases_controls': None, 'permutation_mode': 'blocks', 'normalization_mode': 'scale_permuted', 'multiple_hypothesis_correction': 'FDR-0.05', 'single_function_filter': None, 'functional_profile_already_corrected_with_musicc': True, 'da_result_file': None, 'number_of_shapley_orderings_per_taxa': '5', 'taxa_to_function_file': None, 'perform_inference_on_ko_level': False, 'control_label': '0', 'na_rep': 'NA', 'case_label': '1', 'max_score_cutoff': '100', 'score_to_compute': 'wilcoxon'}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Lawsonibacter_asaccharolyticus	c:0.06587134342217722	c:0.07561691982747416	c:0.02168418024363052	c:0.010629766754338363	c:0.04736726974222574	c:0.01629340776786902	c:0.019865263121146594	c:0.06830655153638286	c:0.06031731999550212	c:0.017399564228319016	c:0.017305431339747906
s__Megamonas_hypermegale	a:0.29654143189045995	a:0.7973136745483846	a:0.4428730272235233	a:0.10262587957817748	a:0.16395487122059751	b:-0.06611919713371772	a:0.7823498674372107	a:0.8437457952072148	b:-0.34143047421124606	b:-0.10816593862239969	a:0.11410633342526903
s__Methanobrevibacter_smithii	c:0.9324053778607043	c:1.0079992254877348	c:0.7512379131050736	c:0.5336642615968494	c:0.9197551817512083	c:0.9266348501980163	c:1.041248462339084	c:0.8367055504391964	c:0.9448495289440292	c:0.8803997934403536	c:0.8066229343870206
s__Oscillibacter_sp_57_20	c:0.02352666226150371	c:0.010930479595022661	d:-0.011434239061211661	c:0.03960669088701282	c:0.09548140871370653	c:0.06140254395927122	d:-0.060472645596293714	d:-0.06304601945019214	c:0.07396299920371045	c:0.005408523570794871	c:0.04226535727446172
s__Oscillibacter_sp_CAG_241	c:0.055687296669457965	c:0.005412479207356619	c:0.038844055419504454	c:0.012174478024201291	c:0.02635456232420339	c:0.0093166924938126	c:0.041060323976966205	d:-0.0038342083732117492	c:0.031368789168682014	c:0.05446492050988382	c:0.031873139868805495
s__Roseburia_hominis	d:-0.036246919592238636	d:-0.005540115352215958	c:0.038620104451315765	c:0.04976872121417124	c:0.09308641858404525	c:0.07999896274899183	c:0.07491442129730333	d:-0.08102606278620045	c:0.06404939974502859	c:0.08591819982320524	d:-0.05779812850860093
s__Roseburia_sp_CAG_309	c:0.08252516458111636	c:0.11352351753583866	c:0.03416376313202954	c:0.019434901124825987	c:0.06788998499853381	c:0.033388261287946634	c:0.03603441322378202	c:0.08077232488931178	c:0.08126776484942246	c:0.029863380878464754	c:0.0293214305155069
s__Ruminococcus_bicirculans	c:0.35778075305281454	c:0.24636587134436197	c:0.4664592492654284	c:0.3218753273657419	c:0.44143783500152656	c:0.41078597328641714	c:0.4336493414584065	c:0.17614298985628754	c:0.48482360873585845	c:0.4218806469912488	c:0.3942037477415459
s__Ruminococcus_gnavus	a:1.6411759850716912	a:1.501436239875323	a:1.768418579285605	a:1.9403571075557016	a:2.138391491072663	a:0.7194470814461496	a:0.8580535297290746	a:0.8614364576862832	a:0.6878866339437013	a:0.7869705577132887	a:2.854510277392551
s__Ruthenibacterium_lactatiformans	c:0.02773585371917142	c:0.06471290498951948	d:-0.030109601658186193	d:-0.17498971768205734	d:-0.0487775456769826	c:0.026991279040662154	c:0.0689601606509701	d:-0.03716257203279438	d:-0.011284516105799303	c:0.057576458014159566	c:0.05895786202511519
