Individual	ERR1190533	ERR1190534	ERR1190536	ERR1190538	ERR1190539	ERR1190540	ERR1190541	ERR1190542	ERR1190548	ERR1190549	ERR1190550	ERR1190551	ERR1190552	ERR1190553	ERR1190555	ERR1190557	ERR1190558	ERR1190559	ERR1190561	ERR1190562	ERR1190563	ERR1190564	ERR1190565	ERR1190566	ERR1190568	ERR1190569	ERR1190570	ERR1190572	ERR1190573	ERR1190574	ERR1190575	ERR1190576	ERR1190578	ERR1190579	ERR1190580	ERR1190583	ERR1190584	ERR1190587	ERR1190589	ERR1190590	ERR1190591	ERR1190592	ERR1190593	ERR1190594	ERR1190595	ERR1190597	ERR1190598	ERR1190599	ERR1190600	ERR1190601	ERR1190602	ERR1190604	ERR1190606	ERR1190609	ERR1190621	ERR1190622	ERR1190625	ERR1190626	ERR1190627	ERR1190628	ERR1190629	ERR1190630	ERR1190631	ERR1190632	ERR1190634	ERR1190635	ERR1190637	ERR1190638	ERR1190640	ERR1190641	ERR1190642	ERR1190643	ERR1190645	ERR1190646	ERR1190647	ERR1190648	ERR1190649	ERR1190650	ERR1190652	ERR1190654	ERR1190655	ERR1190656	ERR1190660	ERR1190661	ERR1190662	ERR1190663	ERR1190667	ERR1190668	ERR1190669	ERR1190670	ERR1190671	ERR1190672	ERR1190674	ERR1190675	ERR1190676	ERR1190678	ERR1190681	ERR1190685	ERR1190686	ERR1190688	ERR1190690	ERR1190691	ERR1190693	ERR1190695	ERR1190697	ERR1190698	ERR1190700	ERR1190703	ERR1190704	ERR1190717	ERR1190718	ERR1190719	ERR1190720	ERR1190723	ERR1190724	ERR1190726	ERR1190748	ERR1190749	ERR1190750	ERR1190751	ERR1190752	ERR1190753	ERR1190754	ERR1190755	ERR1190758	ERR1190759	ERR1190760	ERR1190761	ERR1190762	ERR1190763	ERR1190764	ERR1190765	ERR1190767	ERR1190768	ERR1190769	ERR1190770	ERR1190772	ERR1190773	ERR1190774	ERR1190775	ERR1190776	ERR1190777	ERR1190779	ERR1190781	ERR1190783	ERR1190784	ERR1190786	ERR1190787	ERR1190788	ERR260134	ERR260147	ERR260153	ERR260170	ERR260216	ERR260221	ERR260227	ERR260228	ERR260230	ERR260234	ERR260248	ERR260250	ERR260256	ERR260258	ERR260265	ERR260267	ERR688516	ERR688528	ERR688543	ERR688544	ERR688554	ERR688556	ERR688557	ERR688561	ERR688563	ERR688564	ERR688565	ERR688590	ERR688595	ERR688598	ERR688600	ERR688607	ERR688612	ERR688616	ERR688624	ERR710429	ERR710432	MH0014	MH0025	MH0030	MH0079	MH0093	MH0095	MH0097	MH0115	MH0121	MH0122	MH0124	MH0140	MH0141	MH0143	MH0154	MH0159	MH0163	MH0179	MH0189	MH0196	MH0204	MH0206	MH0211	MH0229	MH0236	MH0247	MH0257	MH0274	MH0276	MH0277	MH0287	MH0288	MH0292	MH0302	MH0318	MH0414	MH0415	MH0417	MH0421	MH0424	MH0425	MH0427	MH0431	MH0433	MH0444	MH0445	MH0447	MH0448	MH0450	MH0456	O2.UC51-0	SRR10901874	SRR10901876	SRR10901877	SRR10901880	SRR10901881	SRR10901882	SRR10901883	SRR10901884	SRR10901886	SRR10901887	SRR10901889	SRR10901894	SRR10901895	SRR10901899	SRR10901900	SRR10901903	SRR10901905	SRR10901906	SRR10901908	SRR10901909	SRR10901910	SRR10901911	SRR10901912	SRR10901913	SRR10901914	SRR10901915	SRR10901917	SRR10901919	SRR10901921	SRR10901923	SRR10901926	SRR10901927	SRR10901928	SRR10901929	SRR10901930	SRR10901932	SRR10901936	SRR10901937	SRR10901938	SRR10901942	SRR10901943	SRR10901945	SRR10901947	SRR13279582	SRR13279584	SRR13279585	SRR13279587	SRR13279588	SRR13279615	SRR13279626	SRR13279648	SRR13279673	SRR13279674	SRR13279675	SRR13279676	SRR13279678	SRR13279679	SRR13279680	SRR13279681	SRR13279683	SRR13279684	SRR13279685	SRR13279687	SRR13279688	SRR13279689	SRR13279690	SRR13279691	SRR13279692	SRR13279693	SRR13279697	SRR13279698	SRR13279699	SRR13279701	SRR13279702	SRR13279703	SRR13279704	SRR13279705	SRR13279706	SRR13279707	SRR13279709	SRR13279710	SRR13279711	SRR13279712	SRR13279713	SRR13279715	SRR13279716	SRR13279718	SRR13279719	SRR13279721	SRR13279722	SRR13279723	SRR13279725	SRR13279727	SRR13279728	SRR13279729	SRR13279730	SRR13279731	SRR13279732	SRR13279733	SRR13279734	SRR13279735	SRR13279736	SRR13279737	SRR13279738	SRR13279740	SRR13279741	SRR13279743	SRR13279744	SRR13279748	SRR13279749	SRR13279751	SRR13279753	SRR13279755	SRR13279756	SRR13279758	SRR13279759	SRR13279760	SRR13279761	SRR13279762	SRR13279763	V1.CD11-0	V1.UC33-0	V1.UC57-0	V1.UC61-0
espP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303490137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
espR1	0	0	0	0	0.047841307	0	0.006614471	0	0	0	0	0	0	0.029981718	0	0.014432309	0.022266096	0	0	0	0	0	0	0.007459056	0	0.132694938	0	0	0.014243028	0.012748934	0.026107335	0	0.027200791	0	0	0.016496238	0	0.024174053	0	0.019228109	0.014166738	0	0	0.008027244	0.021842561	0	0	0	0	0.02026486	0	0	0.006978559	0	0	0.010724424	0	0	0	0	0	0.013263263	0	0	0	0	0	0	0	0	0	0	0	0	0.005558764	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007608613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010736298	0	0	0	0	0	0	0	0.00693314	0	0.01402895	0	0	0	0	0.004819664	0	0	0	0.014334862	0	0	0	0	0.016344941	0	0	0	0	0	0	0	0	0	0	0	0	0.012198276	0	0	0.01563786	0	0	0	0.009518255	0	0.013567684	0.019480088	0	0.030240691	0	0.039233787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009861067	0	0.035613298	0	0.021602321	0	0	0	0	0	0.022247685	0	0	0	0.140900711	0	0	0	0	0	0.057283763	0	0	0.47639485	0	0	0	0	0	0	0	0	0	0	0	0.015266506	0	0	0.020684256	0	0	0	0	0.019999022	0	0	0	0	0.008329127	0	0.006906269	0	0.037253695	0.019588811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003687211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02245614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015915981	0.007070357	0	0.013188884	0	0	0	0.002588823	0	0	0	0	0	0	0	0	0.004510014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035980991	0	0	0	0.024387999	0	0	0.012188885	0	0	0	0	0	0	0	0	0	0	0	0.229417671	0	0	0.009768903
espR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00532505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024675325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001497556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07885792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007491209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
espW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006466383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008329127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
espX1	0	0	0	0	0.064177363	0	0.030021598	0	0	0.019421469	0	0	0	0.033820841	0	0	0	0.423809524	0	0	0.021965831	0	0	0.008918437	0.046137339	0	0	0	0.019920319	0.020395382	0	0	0	0	0	0.023699273	0	0	0	0.028012173	0.018717266	0	0	0	0	0	0	0.016612022	0	0	0	0	0.011845186	0.021948904	0	0.02008201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023261197	0	0	0.027614858	0	0.034830167	0	0	0	0.012748696	0	0.009548809	0.026666667	0	0.01962482	0	0	0	0	0	0	0	0	0.014898006	0	0	0.010872991	0	0	0	0	0	0	0	0	0.010429855	0	0	0	0	0	0	0.007390152	0.030645161	0	0	0	0.010879917	0.017038349	0	0.043031674	0.030070812	0	0	0	0	0.003640884	0	0	0	0	0	0	0	0.016187222	0	0	0	0	0.149328859	0	0.011392748	0	0.012774768	0.027458281	0	0.039292327	0.133986928	0.047565197	0	0.023181403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039625704	0	0	0	0	0	0	0	0	0	0	0	0	0.52360515	0	0.110983982	0	0	0	0	0.274193548	0	0	0	0	0	0	0	0.029666198	0	0	0	0	0	0	0	0	0	0.010432442	0	0.012412745	0	0.031096059	0.024971323	0	0	0	0	0.016231609	0	0	0	0	0.007756667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026537489	0	0	0	0	0	0	0	0	0	0	0	0.024504799	0	0.007098301	0	0	0.010033127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014131779	0	0	0	0.013804677	0	0.01013597	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008102737	0	0	0	0	0	0	0	0.014594867	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025584392	0	0	0.01372315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017988553
espX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030782528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020176602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01623759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010582921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012306987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
espX4	0.04950495	0	0.013594413	0	0.068844807	0.025109006	0.033045356	0	0	0.026139012	0	0	0.031290483	0.049725777	0	0.023523764	0.038938247	0	0.023655109	0	0.023408032	0.009906693	0.085190039	0.012404735	0.058655222	0	0	0	0.016832669	0.030896504	0.034919147	0	0.045499505	0	0.03374788	0.028361953	0.004846939	0	0	0.029464656	0	0	0.044444444	0.019946485	0.050389273	0	0	0.024262295	0	0.034093009	0	0	0.014232588	0.028616852	0	0	0	0	0	0	0	0.021021021	0.019550137	0	0	0	0	0	0.024680386	0	0.064759036	0	0.013694802	0	0.020502455	0	0	0.026675153	0	0	0.038245357	0.018997067	0.034254462	0	0	0	0.014197412	0	0.013048771	0.036190476	0.027342803	0.027705628	0.045822102	0.036380312	0	0	0	0	0	0	0.020742608	0.039052658	0	0.017018594	0.021671416	0	0	0	0	0.029764196	0	0	0.019714234	0.003085229	0.019517047	0	0	0.028335542	0	0.009358181	0.030184332	0	0.026291611	0.024908257	0.01183227	0.022092539	0	0	0	0.087978142	0.023761416	0.033862985	0	0.009458336	0	0	0.005499845	0.07211319	0	0.029332535	0.025324169	0.020176167	0	0	0.027880658	0	0	0	0.016641326	0	0.014283512	0.034372715	0	0	0.168300654	0.04627279	0.020867655	0.021810108	0	0	0	0	0.034308567	0.021157571	0	0.022808107	0	0	0	0	0	0	0	0	0	0	0	0.018477681	0	0	0	0.030618166	0	0.015717247	0	0	0	0	0	0	0	0	0.083155098	0	0.065088161	0	0	0.069802731	0.149776928	0	0	0	0.141304348	0	0	0	0	0	0	0	0	0	0.024435183	0	0	0.034532235	0	0	0	0	0.025182143	0	0	0	0	0.014386673	0	0.01849397	0.083616587	0.048953202	0.035471632	0	0	0	0	0.018984338	0	0	0	0	0.011504271	0	0	0	0	0	0.006436359	0.015106064	0	0	0.014408338	0	0	0	0	0	0	0	0	0.047598989	0	0	0	0	0	0	0.018478045	0	0	0	0.015486286	0.032060445	0	0.010496881	0.012339966	0	0.014788659	0	0	0	0	0	0	0.024597623	0	0	0.32278481	0	0	0	0	0	0	0.097701149	0	0	0	0	0	0	0	0	0	0	0.024848419	0.014923673	0	0	0	0	0	0.009105517	0	0	0	0	0	0	0.034785793	0	0.015593946	0.056124939	0	0.006602859	0	0	0.030742205	0	0.019627579	0	0	0	0.022147651	0	0	0	0	0	0.04820095	0	0	0	0.039112829	0	0.028848081	0.016365496	0	0	0	0	0	0.023551143	0	0	0	0	0	0.320281124	0	0	0.023195765
espX5	0	0	0	0	0.057176196	0.024507593	0	0.019062931	0	0.018736005	0	0	0	0.050091408	0	0.021153385	0.035976747	0	0.017779441	0	0.019525183	0	0	0.0167018	0.056866953	0.203830369	0.250896057	0.077220077	0.024003984	0.030886794	0.038340755	0.164102564	0.029179031	0	0.028942906	0.024728278	0.008418367	0	0	0.025591368	0.020606165	0.017998163	0	0	0	0	0	0.020765027	0	0	0	0	0.011248336	0.012369189	0	0.014509515	0	0.090305445	0	0	0	0.016391391	0	0.090163934	0	0	0	0	0.021193683	0	0.085843373	0.030852995	0.012837712	0	0.018697661	0	0	0.029221155	0	0	0.029569892	0.012990641	0.028785262	0	0	0	0.012458953	0	0.010766187	0	0	0.038528139	0.053908356	0	0	0	0.032673388	0	0	0	0.010199404	0	0	0.016861015	0.017960103	0	0	0	0	0	0	0.034750144	0.018749623	0.002262502	0.020820471	0	0	0.028131689	0.101717305	0	0.034562212	0	0.024124202	0.020068807	0	0.010525219	0	0.040588235	0	0.081420765	0	0.034904923	0	0.008900922	0	0	0.027145823	0.057507987	0	0.025142173	0.020230087	0.020652662	0	0	0.023662551	0	0	0	0.014069106	0	0.01298401	0.029386344	0	0.040115203	0.133986928	0.043664897	0.02306425	0.019459318	0	0.071502591	0	0	0.033466639	0	0	0.020747474	0	0	0	0	0	0.030154525	0	0	0	0	0	0.014576566	0	0.017195262	0	0	0	0.014615203	0	0	0	0.038479901	0	0.5	0	0	0.071488755	0	0.054695934	0	0	0.057663126	0.096239643	0	0	0	0.10812357	0	0	0	0	0	0	0	0	0	0.02044308	0	0	0.033322598	0	0	0	0	0.023666324	0	0	0	0	0.011273767	0	0.013469543	0.054384772	0.039716749	0.024000706	0	0	0	0	0.016073406	0	0	0	0	0.011852885	0	0	0	0	0	0.006830422	0.020141418	0	0	0	0	0	0	0	0	0	0	0	0.042965459	0	0	0	0	0.01783033	0	0.019537718	0	0.034288639	0.015529219	0.005871175	0.035531958	0	0.010109701	0	0	0	0	0	0	0	0	0	0.026815674	0	0	0	0	0	0	0	0	0	0	0.020348483	0	0	0	0	0	0.015898251	0	0	0	0.026959723	0.00091108	0.015822002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012230546	0.036115178	0	0.006400937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027977044	0	0	0	0	0.040953433	0.019873033	0	0.017217866	0	0.028793271	0	0.040124833	0	0	0	0	0	0	0	0.277610442	0	0	0
espX6	0	0	0	0	0	0	0	0	0	0.011332998	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015161343	0	0	0	0	0.015239044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02253388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024157021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015816927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
espY1	0.032453245	0	0.006610127	0	0	0	0.005156587	0.012632062	0	0.003427318	0	0	0.005779771	0	0	0	0	0	0.008868934	0	0	0	0	0.005675369	0	0	0	0	0	0.001233141	0	0	0	0	0	0	0	0	0	0.002351639	0	0	0	0	0	0	0	0.010928962	0	0	0	0	0.004591157	0	0	0.006834192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006484069	0	0.012561363	0	0	0.002314547	0	0	0	0	0	0	0	0	0.006760672	0	0.004679297	0.017142857	0	0	0	0	0	0	0	0	0	0	0.006188402	0	0	0	0	0	0	0	0	0	0.05371248	0	0.005365648	0.0010027	0	0	0	0	0	0.002931962	0	0	0	0.005	0	0.008076282	0	0	0	0	0	0.012242772	0	0	0	0	0.013031762	0	0	0	0.005752169	0.002110193	0	0	0	0	0	0	0.006560723	0	0.006596626	0	0	0	0	0	0	0.009011362	0	0	0	0	0.019715148	0	0	0.006379495	0	0	0	0	0	0	0	0	0	0	0	0.008079791	0	0	0	0	0	0	0	0	0	0.019860594	0	0	0	0	0	0	0	0	0	0	0.035691523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007403668	0	0.008880814	0.044867437	0	0	0	0	0.033076923	0	0.011137478	0	0	0	0	0.007930974	0	0	0	0	0	0.006699067	0.011784873	0	0	0	0	0	0.02283105	0	0	0	0	0	0	0	0	0	0	0	0	0.012782303	0	0	0.016346547	0.005389001	0	0	0.005377501	0	0	0.007194996	0	0	0	0	0	0	0.016265711	0	0	0	0.012278308	0	0	0	0	0	0	0.003655416	0	0	0	0	0	0.007949126	0	0	0	0.004709831	0	0	0.003532737	0	0	0	0.003392251	0	0	0	0	0	0	0	0	0.006115273	0	0	0	0	0	0	0	0.012246267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003147428	0	0	0	0	0	0.021337127	0.011544678	0	0	0	0.007706679	0	0	0	0	0
espY2	0	0	0.007857321	0	0	0	0.004022678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00080391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004407511	0.009317656	0	0.006518768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002526711	0	0	0	0	0	0	0	0	0	0	0	0.006664091	0	0.006847752	0	0	0.005916306	0	0	0	0	0	0	0	0	0.007563603	0	0	0	0	0	0	0	0	0	0	0	0.004581901	0.001594035	0	0	0	0	0	0.003454093	0	0	0	0.003623853	0	0.006773656	0	0	0	0	0.003313667	0	0	0	0	0	0	0	0	0	0	0.000449267	0	0	0	0	0	0	0.009122529	0	0.006640677	0.014294262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00662488	0	0	0	0	0	0	0	0	0	0.02081543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004459027	0	0.003633903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002101668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012464242	0.002836316	0	0	0.004302	0	0	0.006644455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00512277	0	0	0	0	0.005841349	0	0	0	0	0	0.004195679	0	0	0	0	0	0	0	0	0.00420425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007388594	0.012787724	0	0	0	0	0	0	0	0.006756466
espY3	0	0	0.013469693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012350213	0.011047246	0	0.010619283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011299981	0	0.010347714	0	0	0	0	0	0	0	0	0	0	0	0.014898006	0	0	0	0	0	0	0	0	0	0	0	0.009646108	0.003033809	0	0	0	0	0	0	0	0	0	0.009036697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013475517	0	0.014724021	0.025330763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015451953	0	0	0	0	0	0	0	0	0	0.053757281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013797745	0	0.007601531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006539041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011313255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
