# RUN PARAMETERS: 
# --------------- 
# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'permutation_mode': 'blocks', 'perform_inference_on_ko_level': False, 'class_file': './data/Sample_Class.txt', 'control_label': '0', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'number_of_shapley_orderings_per_taxa': '5', 'write_log': True, 'max_score_cutoff': '100', 'map_function_level': 'none', 'single_function_filter': None, 'output_pref': 'Pathway_Control', 'apply_inference': True, 'residual_mode': 'remove_residual', 'max_da_functions_cases_controls': None, 'functional_profile_already_corrected_with_musicc': True, 'map_function_file': None, 'number_of_permutations': '100', 'multiple_hypothesis_correction': 'FDR-0.05', 'score_to_compute': 'wilcoxon', 'case_label': '1', 'taxa_to_function_file': None, 'na_rep': 'NA', 'da_result_file': None, 'taxa_assessment_method': 'multi_taxa', 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'normalization_mode': 'scale_permuted'}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ko00010	ko00030	ko00230	ko00290	ko00312	ko00550	ko00620	ko00680	ko00970	ko01051	ko03015	ko03070	ko03420	ko03430	ko04122
s__Eubacterium_siraeum	a:0.32460646214116223	a:0.2511503052662991	a:0.36309431319213026	a:0.37714039854397774	a:0.2067331943182281	a:0.23243166997611872	a:0.37134159019142227	a:0.09618700418353426	a:0.3654599527800431	a:0.29204963061210226	b:-0.06729099463789542	a:0.3554062871868793	a:0.35855566366296265	a:0.4029780112544536	a:0.3372340646681622
s__Eubacterium_sp_CAG_274	c:0.14604953451531247	c:0.027013070234247916	d:-0.09515348503503689	d:-0.34728363385478017	d:-0.26977058456837644	d:-0.2999630293623844	c:0.1059835674771824	c:0.2892603156021278	c:0.02814677538064581	c:0.370125126371193	c:0.17506120068013786	c:0.2597440031202117	c:0.1595615667003274	c:0.1287662181401145	d:-0.26514695219962403
s__Firmicutes_bacterium_CAG_110	a:0.13175856569859523	a:0.3703431650000369	a:0.13776132160455568	a:0.16238468058355748	a:0.20407879326130662	a:0.1765362871157145	a:0.25256973125004245	a:0.12518298857209706	a:0.14524976392591832	a:0.24890508032304542	b:-0.022771600219156297	a:0.11144138869651563	a:0.04966175010302245	a:0.09160470188220313	a:0.23394476430748445
s__Firmicutes_bacterium_CAG_170	a:0.1212435968665385	a:0.1041047245723377	a:0.2167310164585792	a:0.11717487977630771	a:0.07904592180057836	a:0.1165373043629441	a:0.09262218732947693	a:0.07509822466593989	a:0.16007510968043243	a:0.311719096761941	b:-0.028499777232037074	a:0.1381658241547412	a:0.1706331541277169	a:0.08687967289368456	b:-0.07776706872326127
s__Firmicutes_bacterium_CAG_238	b:-0.013873374657982154	b:-0.11542282839641581	a:0.10736141000753265	b:-0.026276364597866832	b:-0.04085917774625099	a:0.10573336290690237	b:-0.12255388388137306	b:-0.04676250781222674	a:0.1484514786822034	b:-0.028147887463522613	b:-0.011364501610937794	a:0.1118954985892053	a:0.20682033093857444	a:0.24214574205890618	a:0.030172230224247625
s__Firmicutes_bacterium_CAG_95	b:-0.25564357055249454	b:-0.28381828877504467	a:0.1529031464380074	b:-0.2663443557639648	b:-0.09945234697277011	a:0.13300256412777375	b:-0.27494122094252654	b:-0.23982061607250452	a:0.19140056984791493	b:-0.2647876508914308	b:-0.020471953599931945	a:0.13406132333447485	a:0.21760509952274024	a:0.20293647299186332	b:-0.17466611564190906
s__Gemella_sanguinis	c:0.02903789161291991	c:0.033529622506285356	c:0.03142868679704602	c:0.02811465167020478	c:0.007488132627396988	c:0.02355190231970739	c:0.03538599852161925	c:0.02900737268030107	c:0.0249205103390806	c:0.03073750617362124	c:0.0006733872973960692	c:0.02738865862963685	c:0.020984511190146188	c:0.023759946279658387	c:0.019939251824949468
s__Intestinimonas_butyriciproducens	b:-0.02515421666718852	b:-0.029514257240143813	b:-0.01874255211053067	b:-0.018215481134924355	b:-0.002627992607847224	b:-0.017454999448177397	b:-0.02621655143149347	b:-0.007917579618818971	b:-0.003959986354276929	b:-0.016221051995885236	a:0.0051747750116916515	b:-0.000297742594013379	b:-0.01003943374774079	b:-0.010336838493791608	b:-0.0025413064514511014
s__Lawsonibacter_asaccharolyticus	b:-0.02395539132600523	b:-0.022549859339722773	b:-0.022807552873173157	b:-0.009398958472698426	a:0.001418553209839856	b:-0.017950312715302116	b:-0.02517907664643431	b:-0.022360763019672558	b:-0.007462512490235417	b:-0.018047246926562857	a:0.00011083524722066959	b:-0.010239256740602587	b:-0.017742972605273126	b:-0.010839063567150573	b:-0.009242225172062763
s__Megamonas_hypermegale	d:-0.34297876103871283	d:-0.7008551250649342	c:0.10402061450665614	d:-0.20375407913828147	c:0.07201862787112545	c:0.0007037373060336185	c:0.5082949624704899	c:0.14603599244281282	c:0.00013085977750216895	d:-0.6046546351168943	c:0.18014240588319602	c:0.16862567561112357	c:0.12729041377761746	d:-0.1075151167535036	c:0.13175491975599912
s__Methanobrevibacter_smithii	a:1.297115181470856	a:1.0667198197041365	a:0.9894405612078313	a:1.186000421369154	a:1.0892603459938939	a:1.217179874908812	a:1.3129614052292689	a:1.7506615578358893	a:1.1595955900835202	a:1.2177943499677353	a:3.1468165316862207	a:1.0821735908230283	a:0.8986647411477978	a:1.0379575416436817	a:1.250393947418056
s__Oscillibacter_sp_57_20	a:0.06636384128961384	a:0.09178152305961328	b:-0.032790734935146004	b:-0.020653870650777534	a:0.08436833637191317	b:-0.1163580619418022	a:0.04183790921681828	a:0.10855511132128362	a:0.07397552773232242	a:0.12737014589678405	a:0.016021313465014092	a:0.12370122963925967	b:-0.0021364378993060963	a:0.06620786814689397	a:0.07588331294596075
s__Oscillibacter_sp_CAG_241	a:0.0386805651596174	a:0.03402030444092318	a:0.026505622594467572	b:-0.002621418649575547	a:0.10161372931331263	b:-2.6563296057076772e-05	a:0.003911688172627836	a:0.021561386586234698	a:0.042057257006516906	a:0.0005148521409600318	a:0.019675568528662687	a:0.0694628080342823	a:0.0007093821824082336	a:0.028134950701955853	a:0.011702307342512628
s__Roseburia_hominis	b:-0.030806103387021437	a:0.03162705985906845	a:0.0052887283140668736	a:0.05480658333903133	b:-0.07812216100892087	a:0.07565359040841146	b:-0.009529297401258298	b:-0.039860161320931044	a:0.0029755255453443796	a:0.04147672159083391	b:-0.0006495549390364305	b:-0.01805351119086886	a:0.09492797152002133	a:0.003447935536006536	a:0.05466617935658654
s__Roseburia_sp_CAG_309	b:-0.09202093057208961	b:-0.11150428472554752	b:-0.10151283946549014	b:-0.07860757814614196	a:0.2252447428843515	b:-0.08240407424053182	b:-0.10451116974830799	b:-0.08547155073968904	b:-0.06482657675192588	b:-0.08609293760484625	b:-0.01189283951640375	b:-0.05847109349604377	b:-0.08306589024520987	b:-0.07348690103945689	b:-0.05936403973811512
s__Ruminococcus_bicirculans	a:0.524550657959537	a:0.58119314935817	a:0.45601179371789186	a:0.6580147364811798	a:0.5105906252991558	a:0.40085511542764707	a:0.6170463493810285	a:0.47752655728529203	a:0.45826111506769174	a:0.5624667154108534	b:-0.15159816645158491	a:0.45563962603312375	a:0.2658852766908259	a:0.3817825421656794	a:0.6586096867432658
s__Ruminococcus_gnavus	d:-0.6254765428980551	c:0.4044872203342498	c:0.9617765846426969	c:0.7418310574362504	d:-0.18134691833174924	c:0.8166324404360769	d:-0.7283313848558663	d:-0.4958039209053603	c:1.3806280586475441	c:0.3147935695293232	c:0.6518798679448562	c:1.1852231880542623	c:1.4927027292729007	c:1.3958930290633536	c:0.1176738812170238
s__Ruthenibacterium_lactatiformans	a:0.04776784480984639	a:0.18698551636505445	b:-0.018881435777143886	a:0.021643314717157965	a:0.09973311270666428	a:0.07118084938594216	a:0.1254058978424012	a:0.3110684015860309	b:-0.01608792582163417	a:0.18435480689650824	a:0.015581632495725917	b:-0.03235924677895017	b:-0.040791171766785324	a:0.0012432945792565883	a:0.22234023579613904
