# /home/hxl/miniconda3/envs/fishtaco/bin/run_fishtaco.py {'permutation_mode': 'blocks', 'perform_inference_on_ko_level': False, 'class_file': './data/Sample_Class.txt', 'control_label': '0', 'function_abun_file': './data/Differente_Pathway_relative_abundance.txt', 'number_of_shapley_orderings_per_taxa': '5', 'write_log': True, 'max_score_cutoff': '100', 'map_function_level': 'none', 'single_function_filter': None, 'output_pref': 'Pathway_Control', 'apply_inference': True, 'residual_mode': 'remove_residual', 'max_da_functions_cases_controls': None, 'functional_profile_already_corrected_with_musicc': True, 'map_function_file': None, 'number_of_permutations': '100', 'multiple_hypothesis_correction': 'FDR-0.05', 'score_to_compute': 'wilcoxon', 'case_label': '1', 'taxa_to_function_file': None, 'na_rep': 'NA', 'da_result_file': None, 'taxa_assessment_method': 'multi_taxa', 'taxa_abun_file': './data/Diff_bacteria_abundance.txt', 'normalization_mode': 'scale_permuted'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
s__Blautia_wexlerae	0.02781122571469961	0.03223360881571781	-1.6821450056367722	0.09254072508085877	-1.0336671020115893	0.0	0.0	0.0	0.0	s__Blautia_wexlerae
s__Butyricimonas_synergistica	0.0017631836768516442	0.0013373274214434046	3.4054652317117813	0.0006605142359342539	3.180117817684481	1.0	1.0	1.0	1.0	s__Butyricimonas_synergistica
s__Collinsella_intestinalis	0.0045353734006422725	0.008290588550564935	-2.0771526203742585	0.03778747522244531	-1.4226521245844554	0.0	0.0	0.0	1.0	s__Collinsella_intestinalis
s__Collinsella_stercoris	0.0015157295884774902	0.002145317137674045	-1.7289475062015682	0.083818490557473	-1.0766601644096292	0.0	0.0	0.0	0.0	s__Collinsella_stercoris
s__Coprobacter_fastidiosus	0.0082967755846741	0.006867288278273795	1.0414585756178059	0.29766276911430734	0.5262754823817244	0.0	0.0	0.0	0.0	s__Coprobacter_fastidiosus
s__Coprobacter_secundus	0.001073351759696322	0.0008300291905906758	1.3936439610995255	0.16342514635702277	0.7866811174251074	0.0	0.0	0.0	0.0	s__Coprobacter_secundus
s__Coprococcus_eutactus	0.04798407601194596	0.04483500052024652	2.5635692244846306	0.0103602038945035	1.9846316973527167	0.0	0.0	1.0	1.0	s__Coprococcus_eutactus
s__Eisenbergiella_tayi	0.0016782626236667149	0.0037343431671956425	3.3519374451420734	0.0008024814891595555	3.0955649766783293	1.0	1.0	1.0	1.0	s__Eisenbergiella_tayi
s__Eubacterium_eligens	0.09505823460434651	0.09269347077312932	2.6201165272198095	0.008789972587626337	2.0560124793131656	0.0	0.0	1.0	1.0	s__Eubacterium_eligens
s__Eubacterium_siraeum	0.03473946284056834	0.025782752856488008	2.7894839339557573	0.0052792115648987465	2.2774309332581844	0.0	0.0	1.0	1.0	s__Eubacterium_siraeum
s__Eubacterium_sp_CAG_274	0.009069362174145421	0.021344757471919606	-4.210303540544519	2.550278100649126e-05	-4.593412458392765	1.0	1.0	1.0	1.0	s__Eubacterium_sp_CAG_274
s__Firmicutes_bacterium_CAG_110	0.009784551818604876	0.007600771077041597	2.564118227423807	0.01034383037792198	1.9853186097959232	0.0	0.0	1.0	1.0	s__Firmicutes_bacterium_CAG_110
s__Firmicutes_bacterium_CAG_170	0.004172166238494229	0.0016028046731803732	2.082368148296435	0.037308855500574556	1.4281880733233834	0.0	0.0	0.0	1.0	s__Firmicutes_bacterium_CAG_170
s__Firmicutes_bacterium_CAG_238	0.004166114869860063	0.003493183992563801	2.0763291159654935	0.03786352220398882	1.421778988824247	0.0	0.0	0.0	1.0	s__Firmicutes_bacterium_CAG_238
s__Firmicutes_bacterium_CAG_95	0.005056189587139263	0.003175524592083663	2.231559697017647	0.02564407786349855	1.5910129131314494	0.0	0.0	1.0	1.0	s__Firmicutes_bacterium_CAG_95
s__Gemella_sanguinis	0.0003169616088709456	0.00029116108644158063	-1.0074203933888632	0.3137327952614194	-0.5034400810579975	0.0	0.0	0.0	0.0	s__Gemella_sanguinis
s__Intestinimonas_butyriciproducens	0.0008694253676233316	0.0005539540725938432	3.1345322812281826	0.0017212831401300565	2.7641476851158124	0.0	1.0	1.0	1.0	s__Intestinimonas_butyriciproducens
s__Lawsonibacter_asaccharolyticus	0.001925394250684539	0.0015154699920840791	3.11614068276577	0.0018323483365203324	2.736991961755397	0.0	1.0	1.0	1.0	s__Lawsonibacter_asaccharolyticus
s__Megamonas_hypermegale	0.002349295711622746	0.014873587388040458	-1.729771010610333	0.08367119577752835	-1.0774240242989628	0.0	0.0	0.0	0.0	s__Megamonas_hypermegale
s__Methanobrevibacter_smithii	0.032130153904968844	0.009728976308902008	3.544362975323434	0.0003935630168905658	3.404985718967778	1.0	1.0	1.0	1.0	s__Methanobrevibacter_smithii
s__Oscillibacter_sp_57_20	0.022196070140001047	0.023263036690281794	1.1336910693994564	0.25692415703771865	0.59019505970816	0.0	0.0	0.0	0.0	s__Oscillibacter_sp_57_20
s__Oscillibacter_sp_CAG_241	0.009187344201036278	0.008810934535255416	3.619301876521025	0.0002953988761450538	3.5295911613088697	1.0	1.0	1.0	1.0	s__Oscillibacter_sp_CAG_241
s__Roseburia_hominis	0.021447918188437116	0.019163701140303455	1.6542831064735652	0.09807000381429327	1.0084638078087023	0.0	0.0	0.0	0.0	s__Roseburia_hominis
s__Roseburia_sp_CAG_309	0.0014471747367917232	0.0007420479855366455	2.2522845579715596	0.02430429537415327	1.6143169653959795	0.0	0.0	1.0	1.0	s__Roseburia_sp_CAG_309
s__Ruminococcus_bicirculans	0.04584353513917071	0.034364558455543655	3.5937732398493183	0.00032592351510710453	3.4868843044233584	1.0	1.0	1.0	1.0	s__Ruminococcus_bicirculans
s__Ruminococcus_gnavus	0.029481673520262434	0.07342206648042672	-3.7175734026336174	0.00020114555366192386	-3.6964895630998473	1.0	1.0	1.0	1.0	s__Ruminococcus_gnavus
s__Ruthenibacterium_lactatiformans	0.00995793478331193	0.008640265600049327	3.76725816862909	0.00016505029430126825	3.7823836969422557	1.0	1.0	1.0	1.0	s__Ruthenibacterium_lactatiformans
